freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.441e+02,1.859e+02,5.615e+02,8.915e+02
1.5,6.989e+02,7.602e+02,1.252e+03,2.711e+03
3.1,8.259e+02,8.149e+02,1.150e+03,2.791e+03
4.6,6.169e+02,6.645e+02,1.210e+03,2.491e+03
6.2,5.469e+02,6.842e+02,2.051e+03,3.283e+03
7.7,5.505e+02,6.557e+02,2.824e+03,4.030e+03
9.3,6.914e+02,7.578e+02,4.025e+03,5.475e+03
10.8,8.042e+02,9.369e+02,5.378e+03,7.119e+03
12.3,9.791e+02,1.175e+03,6.824e+03,8.978e+03
13.9,9.996e+02,1.145e+03,9.135e+03,1.128e+04
15.4,1.029e+03,9.767e+02,1.151e+04,1.352e+04
17.0,9.161e+02,8.041e+02,1.461e+04,1.633e+04
18.5,7.763e+02,7.058e+02,1.778e+04,1.926e+04
20.1,6.308e+02,7.102e+02,1.689e+04,1.823e+04
21.6,5.542e+02,5.500e+02,1.503e+04,1.613e+04
23.1,6.125e+02,5.799e+02,1.632e+04,1.752e+04
24.7,6.452e+02,8.023e+02,1.912e+04,2.057e+04
26.2,7.087e+02,1.096e+03,2.243e+04,2.423e+04
27.8,7.001e+02,1.127e+03,2.809e+04,2.992e+04
29.3,6.686e+02,1.067e+03,3.247e+04,3.421e+04
30.9,6.438e+02,1.017e+03,3.672e+04,3.838e+04
32.4,6.114e+02,9.588e+02,4.265e+04,4.422e+04
33.9,6.720e+02,1.357e+03,5.036e+04,5.239e+04
35.5,8.304e+02,2.223e+03,5.939e+04,6.245e+04
37.0,9.871e+02,3.739e+03,6.794e+04,7.267e+04
38.6,1.295e+03,5.611e+03,8.030e+04,8.721e+04
40.1,1.693e+03,8.464e+03,1.007e+05,1.109e+05
41.7,2.382e+03,1.384e+04,1.421e+05,1.583e+05
43.2,2.832e+03,2.022e+04,2.202e+05,2.433e+05
44.7,2.891e+03,2.650e+04,2.513e+05,2.807e+05
46.3,2.359e+03,2.681e+04,1.053e+05,1.345e+05
47.8,2.837e+03,2.800e+04,1.055e+05,1.363e+05
49.4,4.799e+03,3.999e+04,2.485e+05,2.933e+05
50.9,9.977e+03,9.683e+04,5.299e+05,6.367e+05
52.5,1.546e+04,1.744e+05,9.223e+05,1.112e+06
54.0,2.351e+04,2.461e+05,1.331e+06,1.600e+06
55.5,2.603e+04,2.780e+05,1.266e+06,1.570e+06
57.1,1.861e+04,2.619e+05,8.495e+05,1.130e+06
58.6,1.442e+04,2.667e+05,5.886e+05,8.697e+05
60.2,1.313e+04,2.741e+05,4.235e+05,7.107e+05
61.7,1.066e+04,2.112e+05,2.412e+05,4.630e+05
63.3,6.505e+03,6.518e+04,1.957e+05,2.674e+05
64.8,5.740e+03,1.591e+04,1.904e+05,2.120e+05
66.3,5.950e+03,1.513e+04,1.603e+05,1.814e+05
67.9,6.584e+03,1.783e+04,1.384e+05,1.628e+05
69.4,1.109e+04,1.926e+04,1.497e+05,1.800e+05
71.0,1.746e+04,2.146e+04,1.706e+05,2.095e+05
72.5,2.166e+04,2.369e+04,1.866e+05,2.319e+05
74.1,2.128e+04,2.566e+04,1.943e+05,2.412e+05
75.6,1.960e+04,2.570e+04,1.802e+05,2.255e+05
77.2,1.703e+04,2.513e+04,1.378e+05,1.800e+05
78.7,1.618e+04,2.283e+04,1.058e+05,1.448e+05
80.2,1.959e+04,2.325e+04,1.121e+05,1.550e+05
81.8,2.203e+04,2.577e+04,1.210e+05,1.688e+05
83.3,2.343e+04,2.697e+04,1.237e+05,1.741e+05
84.9,3.384e+04,3.350e+04,1.341e+05,2.014e+05
86.4,6.303e+04,4.424e+04,1.394e+05,2.467e+05
88.0,1.184e+05,6.344e+04,1.412e+05,3.231e+05
89.5,1.853e+05,9.719e+04,1.446e+05,4.271e+05
91.0,2.673e+05,1.523e+05,1.725e+05,5.921e+05
92.6,3.140e+05,1.634e+05,2.207e+05,6.981e+05
94.1,2.807e+05,9.352e+04,2.376e+05,6.118e+05
95.7,2.285e+05,3.412e+04,2.378e+05,5.004e+05
97.2,1.723e+05,9.471e+03,2.294e+05,4.111e+05
98.8,1.244e+05,1.010e+04,2.168e+05,3.513e+05
100.3,9.452e+04,2.315e+04,2.131e+05,3.307e+05
101.8,7.666e+04,3.353e+04,2.070e+05,3.172e+05
103.4,5.460e+04,2.786e+04,1.912e+05,2.736e+05
104.9,3.635e+04,1.451e+04,1.564e+05,2.073e+05
106.5,2.871e+04,1.010e+04,1.343e+05,1.731e+05
108.0,2.525e+04,1.129e+04,1.222e+05,1.588e+05
109.6,2.332e+04,1.116e+04,1.108e+05,1.453e+05
111.1,2.116e+04,1.007e+04,9.949e+04,1.307e+05
112.6,1.793e+04,1.023e+04,8.757e+04,1.157e+05
114.2,1.568e+04,1.274e+04,7.719e+04,1.056e+05
115.7,1.444e+04,1.559e+04,6.939e+04,9.942e+04
117.3,1.913e+04,1.718e+04,5.853e+04,9.485e+04
118.8,2.623e+04,2.204e+04,5.687e+04,1.051e+05
120.4,2.906e+04,2.182e+04,7.842e+04,1.293e+05
121.9,3.681e+04,1.895e+04,7.382e+04,1.296e+05
123.4,5.237e+04,2.406e+04,5.929e+04,1.357e+05
125.0,7.145e+04,3.189e+04,5.650e+04,1.598e+05
126.5,8.583e+04,3.639e+04,6.154e+04,1.838e+05
128.1,1.124e+05,4.649e+04,7.803e+04,2.369e+05
129.6,1.363e+05,5.535e+04,1.200e+05,3.117e+05
131.2,1.378e+05,5.680e+04,1.537e+05,3.483e+05
132.7,9.057e+04,3.816e+04,1.172e+05,2.460e+05
134.2,1.900e+04,7.974e+03,2.290e+04,4.988e+04
135.8,6.120e+03,2.852e+03,5.998e+03,1.497e+04
137.3,3.696e+03,2.459e+03,5.542e+03,1.170e+04
138.9,2.105e+03,2.498e+03,4.993e+03,9.596e+03
140.4,1.641e+03,3.281e+03,6.134e+03,1.106e+04
142.0,2.583e+03,4.607e+03,1.005e+04,1.724e+04
143.5,3.750e+03,5.226e+03,1.485e+04,2.383e+04
145.0,4.476e+03,5.429e+03,1.729e+04,2.719e+04
146.6,5.027e+03,6.124e+03,1.685e+04,2.801e+04
148.1,5.707e+03,6.531e+03,1.478e+04,2.702e+04
149.7,4.775e+03,7.178e+03,1.817e+04,3.013e+04
151.2,4.785e+03,7.944e+03,2.409e+04,3.682e+04
152.8,6.150e+03,8.989e+03,2.296e+04,3.810e+04
154.3,7.707e+03,9.398e+03,2.136e+04,3.847e+04
155.8,9.435e+03,7.629e+03,2.043e+04,3.750e+04
157.4,1.132e+04,4.573e+03,1.886e+04,3.475e+04
158.9,1.216e+04,3.011e+03,1.620e+04,3.137e+04
160.5,1.223e+04,2.371e+03,1.451e+04,2.912e+04
162.0,1.264e+04,1.805e+03,1.499e+04,2.944e+04
163.6,1.290e+04,1.298e+03,1.712e+04,3.131e+04
165.1,1.324e+04,1.071e+03,1.932e+04,3.363e+04
166.6,1.369e+04,1.143e+03,2.149e+04,3.632e+04
168.2,1.423e+04,1.151e+03,2.171e+04,3.709e+04
169.7,1.450e+04,1.163e+03,2.115e+04,3.681e+04
171.3,1.376e+04,1.170e+03,1.928e+04,3.422e+04
172.8,1.270e+04,1.226e+03,1.881e+04,3.274e+04
174.4,1.272e+04,1.409e+03,2.135e+04,3.548e+04
175.9,1.328e+04,1.730e+03,2.387e+04,3.887e+04
177.4,1.448e+04,2.124e+03,2.591e+04,4.251e+04
179.0,1.606e+04,2.581e+03,2.661e+04,4.525e+04
180.5,1.792e+04,3.223e+03,2.686e+04,4.801e+04
182.1,1.954e+04,4.244e+03,2.682e+04,5.061e+04
183.6,2.246e+04,5.904e+03,2.625e+04,5.462e+04
185.2,2.503e+04,6.643e+03,2.592e+04,5.760e+04
186.7,2.537e+04,5.958e+03,2.774e+04,5.907e+04
188.2,1.379e+04,3.150e+03,3.395e+04,5.089e+04
189.8,2.457e+03,1.622e+03,3.503e+04,3.911e+04
191.3,7.959e+02,1.194e+03,3.232e+04,3.431e+04
192.9,7.129e+02,1.100e+03,2.987e+04,3.169e+04
194.4,8.040e+02,1.205e+03,2.998e+04,3.199e+04
196.0,8.296e+02,1.245e+03,3.129e+04,3.337e+04
197.5,7.893e+02,1.063e+03,3.144e+04,3.329e+04
199.0,7.777e+02,9.582e+02,3.004e+04,3.178e+04
