freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.959e+02,7.426e+01,5.665e+01,5.268e+02
1.5,3.427e+02,1.942e+02,2.290e+02,7.659e+02
3.0,1.956e+02,2.088e+02,2.870e+02,6.914e+02
4.5,5.027e+02,2.527e+02,3.778e+02,1.133e+03
6.0,1.526e+03,3.464e+02,4.808e+02,2.354e+03
7.5,2.409e+03,4.628e+02,6.670e+02,3.538e+03
9.0,3.207e+03,4.869e+02,7.084e+02,4.402e+03
10.5,4.238e+03,5.800e+02,7.882e+02,5.606e+03
12.0,5.414e+03,7.646e+02,1.058e+03,7.237e+03
13.5,6.645e+03,9.889e+02,1.454e+03,9.088e+03
15.0,8.449e+03,1.196e+03,1.737e+03,1.138e+04
16.5,1.049e+04,1.583e+03,2.355e+03,1.443e+04
18.0,1.274e+04,2.471e+03,3.522e+03,1.873e+04
19.4,1.413e+04,2.894e+03,3.943e+03,2.097e+04
20.9,1.571e+04,3.280e+03,4.313e+03,2.330e+04
22.4,1.685e+04,3.162e+03,4.180e+03,2.419e+04
23.9,1.685e+04,2.800e+03,3.381e+03,2.303e+04
25.4,1.824e+04,2.574e+03,2.876e+03,2.370e+04
26.9,2.045e+04,2.285e+03,2.749e+03,2.548e+04
28.4,2.289e+04,2.276e+03,2.548e+03,2.772e+04
29.9,2.421e+04,1.778e+03,1.913e+03,2.790e+04
31.4,2.545e+04,1.293e+03,1.502e+03,2.825e+04
32.9,2.884e+04,8.855e+02,1.191e+03,3.092e+04
34.4,3.209e+04,6.595e+02,9.855e+02,3.374e+04
35.9,3.487e+04,5.568e+02,8.901e+02,3.632e+04
37.4,3.747e+04,5.063e+02,7.665e+02,3.874e+04
38.9,4.088e+04,4.404e+02,6.721e+02,4.199e+04
40.4,4.506e+04,4.414e+02,6.166e+02,4.612e+04
41.9,5.110e+04,4.005e+02,6.942e+02,5.220e+04
43.4,5.394e+04,3.634e+02,6.225e+02,5.493e+04
44.9,5.566e+04,3.785e+02,5.177e+02,5.655e+04
46.4,5.870e+04,4.312e+02,4.178e+02,5.955e+04
47.9,6.448e+04,5.366e+02,3.537e+02,6.537e+04
49.4,7.145e+04,6.838e+02,3.599e+02,7.249e+04
50.9,7.897e+04,7.881e+02,3.723e+02,8.013e+04
52.4,9.028e+04,7.738e+02,4.422e+02,9.149e+04
53.9,1.047e+05,6.515e+02,6.737e+02,1.060e+05
55.3,1.234e+05,7.317e+02,1.415e+03,1.256e+05
56.8,1.479e+05,2.632e+03,8.951e+03,1.595e+05
58.3,1.653e+05,9.244e+03,2.920e+04,2.037e+05
59.8,1.558e+05,1.696e+04,3.973e+04,2.125e+05
61.3,1.304e+05,1.893e+04,2.795e+04,1.772e+05
62.8,1.396e+05,1.860e+04,2.075e+04,1.790e+05
64.3,1.639e+05,1.840e+04,1.885e+04,2.012e+05
65.8,1.952e+05,1.920e+04,1.787e+04,2.323e+05
67.3,2.308e+05,2.121e+04,1.718e+04,2.692e+05
68.8,2.912e+05,2.635e+04,1.745e+04,3.350e+05
70.3,4.085e+05,3.690e+04,1.900e+04,4.644e+05
71.8,6.700e+05,5.500e+04,2.148e+04,7.465e+05
73.3,1.105e+06,7.502e+04,2.187e+04,1.202e+06
74.8,1.616e+06,8.627e+04,1.998e+04,1.722e+06
76.3,1.715e+06,7.535e+04,1.645e+04,1.807e+06
77.8,1.189e+06,4.953e+04,1.073e+04,1.249e+06
79.3,6.510e+05,2.913e+04,5.592e+03,6.857e+05
80.8,3.791e+05,2.136e+04,2.984e+03,4.035e+05
82.3,3.124e+05,2.378e+04,1.498e+03,3.377e+05
83.8,3.624e+05,3.277e+04,1.135e+03,3.963e+05
85.3,5.084e+05,5.319e+04,1.905e+03,5.635e+05
86.8,7.987e+05,9.631e+04,3.437e+03,8.985e+05
